algo,episode,src,dst,path,hops,total_delay_ms,dropped,reward,avg_utilization,avg_queue_util,total_dropped_data,link0_nodes,link0_delay,link0_bandwidth,link0_load,link0_utilization,link0_queue_size_cur,link0_queue_used_cur,link0_queue_util,link0_dropped_data,link1_nodes,link1_delay,link1_bandwidth,link1_load,link1_utilization,link1_queue_size_cur,link1_queue_used_cur,link1_queue_util,link1_dropped_data,link2_nodes,link2_delay,link2_bandwidth,link2_load,link2_utilization,link2_queue_size_cur,link2_queue_used_cur,link2_queue_util,link2_dropped_data,link3_nodes,link3_delay,link3_bandwidth,link3_load,link3_utilization,link3_queue_size_cur,link3_queue_used_cur,link3_queue_util,link3_dropped_data,link4_nodes,link4_delay,link4_bandwidth,link4_load,link4_utilization,link4_queue_size_cur,link4_queue_used_cur,link4_queue_util,link4_dropped_data,link5_nodes,link5_delay,link5_bandwidth,link5_load,link5_utilization,link5_queue_size_cur,link5_queue_used_cur,link5_queue_util,link5_dropped_data,link6_nodes,link6_delay,link6_bandwidth,link6_load,link6_utilization,link6_queue_size_cur,link6_queue_used_cur,link6_queue_util,link6_dropped_data,link7_nodes,link7_delay,link7_bandwidth,link7_load,link7_utilization,link7_queue_size_cur,link7_queue_used_cur,link7_queue_util,link7_dropped_data
DQN,1,3,4,3→4,1,8.0839,0,,0.0000,0.0000,0.0000,3→4,8.0839,63.0865,0.0000,0.0000,83,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,2,6,7,6→7,1,7.3866,0,,0.0000,0.0000,0.0000,6→7,7.3866,32.6037,0.0000,0.0000,34,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,3,2,6,2→6,1,6.4236,0,,0.0000,0.0000,0.0000,2→6,6.4236,193.9278,0.0000,0.0000,78,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,4,6,4,6→4,1,4.2518,0,,0.0000,0.0000,0.0000,6→4,4.2518,121.2439,0.0000,0.0000,38,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,5,0,2,0→2,1,1.6437,0,,0.0000,0.0000,0.0000,0→2,1.6437,23.9239,0.0000,0.0000,33,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,6,7,1,7→5→4→2→1,4,23.3693,1,,0.0000,0.0000,46.6475,7→5,9.8382,92.6999,0.0000,0.0000,46,0.0000,0.0000,0.0000,5→4,5.2697,41.8163,0.0000,0.0000,36,0.0000,0.0000,17.6681,4→2,4.5894,73.3208,0.0000,0.0000,40,0.0000,0.0000,10.4203,2→1,3.6721,145.6042,0.0000,0.0000,31,0.0000,0.0000,18.5592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,7,0,2,0→2,1,4.4209,0,,0.0000,0.0000,0.0000,0→2,4.4209,83.2949,0.0000,0.0000,84,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,8,5,1,5→3→1,2,6.1899,0,,0.0000,0.0000,0.0000,5→3,3.4286,117.0594,0.0000,0.0000,53,0.0000,0.0000,0.0000,3→1,2.7613,78.2649,0.0000,0.0000,98,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,9,2,0,2→0,1,9.2825,0,,0.0000,0.0000,0.0000,2→0,9.2825,72.0791,0.0000,0.0000,28,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,10,2,4,2→4,1,3.6677,0,,0.0000,0.0000,0.0000,2→4,3.6677,167.1417,0.0000,0.0000,62,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,11,5,4,5→4,1,4.1884,0,,0.0000,0.0000,0.0000,5→4,4.1884,98.3722,0.0000,0.0000,84,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,12,3,5,3→5,1,9.5414,0,,0.0000,0.0000,0.0000,3→5,9.5414,184.7021,0.0000,0.0000,86,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,13,6,2,6→2,1,1.4531,0,,0.0000,0.0000,0.0000,6→2,1.4531,64.5886,0.0000,0.0000,73,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,14,5,4,5→4,1,2.5389,0,,0.0000,0.0000,0.0000,5→4,2.5389,177.5702,0.0000,0.0000,26,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,15,4,6,4→6,1,4.6544,0,,0.0000,0.0000,0.0000,4→6,4.6544,162.4163,0.0000,0.0000,30,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,16,2,1,2→1,1,2.2390,0,,0.0000,0.0000,0.0000,2→1,2.2390,59.6368,0.0000,0.0000,43,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,17,5,6,5→4→6,2,11.2031,0,,0.0000,0.0000,0.0000,5→4,3.3878,135.0016,0.0000,0.0000,27,0.0000,0.0000,0.0000,4→6,7.8153,139.1073,0.0000,0.0000,85,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,18,4,2,4→2,1,5.5764,0,,0.0000,0.0000,0.0000,4→2,5.5764,185.4164,0.0000,0.0000,81,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,19,7,1,7→5→3→1,3,10.9700,0,,0.0000,0.0000,0.0000,7→5,8.2946,169.0841,0.0000,0.0000,95,0.0000,0.0000,0.0000,5→3,1.3072,53.3333,0.0000,0.0000,22,0.0000,0.0000,0.0000,3→1,1.3682,149.9721,0.0000,0.0000,54,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,20,6,3,6→4→3,2,6.3148,0,,0.0000,0.0000,0.0000,6→4,1.0983,67.9481,0.0000,0.0000,49,0.0000,0.0000,0.0000,4→3,5.2166,33.1944,0.0000,0.0000,68,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,21,3,5,3→5,1,5.7984,0,,0.0000,0.0000,0.0000,3→5,5.7984,129.3129,0.0000,0.0000,81,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,22,3,7,3→5→7,2,11.2654,0,,0.0000,0.0000,0.0000,3→5,2.2549,90.5161,0.0000,0.0000,76,0.0000,0.0000,0.0000,5→7,9.0105,173.7597,0.0000,0.0000,51,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,23,5,6,5→4→6,2,18.2503,0,,0.0000,0.0000,0.0000,5→4,8.3352,106.9474,0.0000,0.0000,96,0.0000,0.0000,0.0000,4→6,9.9151,155.5206,0.0000,0.0000,86,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,24,2,0,2→0,1,4.2781,0,,0.0000,0.0000,0.0000,2→0,4.2781,89.6036,0.0000,0.0000,48,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,25,1,3,1→3,1,2.6590,0,,0.0000,0.0000,0.0000,1→3,2.6590,22.6811,0.0000,0.0000,66,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
