algo,episode,src,dst,path,hops,total_delay_ms,dropped,reward,avg_utilization,avg_queue_util,total_dropped_data,link0_nodes,link0_delay,link0_bandwidth,link0_load,link0_utilization,link0_queue_size_cur,link0_queue_used_cur,link0_queue_util,link0_dropped_data,link1_nodes,link1_delay,link1_bandwidth,link1_load,link1_utilization,link1_queue_size_cur,link1_queue_used_cur,link1_queue_util,link1_dropped_data,link2_nodes,link2_delay,link2_bandwidth,link2_load,link2_utilization,link2_queue_size_cur,link2_queue_used_cur,link2_queue_util,link2_dropped_data,link3_nodes,link3_delay,link3_bandwidth,link3_load,link3_utilization,link3_queue_size_cur,link3_queue_used_cur,link3_queue_util,link3_dropped_data,link4_nodes,link4_delay,link4_bandwidth,link4_load,link4_utilization,link4_queue_size_cur,link4_queue_used_cur,link4_queue_util,link4_dropped_data,link5_nodes,link5_delay,link5_bandwidth,link5_load,link5_utilization,link5_queue_size_cur,link5_queue_used_cur,link5_queue_util,link5_dropped_data,link6_nodes,link6_delay,link6_bandwidth,link6_load,link6_utilization,link6_queue_size_cur,link6_queue_used_cur,link6_queue_util,link6_dropped_data,link7_nodes,link7_delay,link7_bandwidth,link7_load,link7_utilization,link7_queue_size_cur,link7_queue_used_cur,link7_queue_util,link7_dropped_data
DQN,1,3,4,3→4,1,8.0839,0,,0.0917,0.1390,0.0000,3→4,8.0839,63.0865,0.0000,0.0000,83,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,2,6,7,6→7,1,7.3866,0,,0.0510,0.1053,0.0000,6→7,7.3866,32.6037,0.0000,0.0000,34,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,3,2,6,2→6,1,6.4236,0,,0.0675,0.1415,0.0000,2→6,6.4236,193.9278,0.0000,0.0000,78,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,4,6,4,6→4,1,4.2518,0,,0.0442,0.1278,0.0000,6→4,4.2518,121.2439,0.0000,0.0000,38,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,5,0,2,0→2,1,1.6437,0,,0.0592,0.0939,0.0000,0→2,1.6437,23.9239,0.0000,0.0000,33,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,6,7,1,7→6→2→1,3,17.7332,0,,0.0314,0.0603,0.0000,7→6,6.8398,33.2450,0.0000,0.0000,87,0.0000,0.0000,0.0000,6→2,7.2212,197.5564,0.0000,0.0000,78,0.0000,0.0000,0.0000,2→1,3.6721,145.6042,0.0000,0.0000,31,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,7,0,2,0→2,1,4.4209,0,,0.0382,0.1004,0.0000,0→2,4.4209,83.2949,0.0000,0.0000,84,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,8,5,1,5→3→1,2,6.1899,0,,0.0273,0.0337,0.0000,5→3,3.4286,117.0594,0.0000,0.0000,53,0.0000,0.0000,0.0000,3→1,2.7613,78.2649,0.0000,0.0000,98,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,9,2,0,2→0,1,9.2825,0,,0.0319,0.0488,0.0000,2→0,9.2825,72.0791,0.0000,0.0000,28,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,10,2,4,2→4,1,3.6677,0,,0.0656,0.1401,0.0000,2→4,3.6677,167.1417,0.0000,0.0000,62,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,11,5,4,5→4,1,4.1884,0,,0.0782,0.1398,0.0000,5→4,4.1884,98.3722,0.0000,0.0000,84,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,12,3,5,3→5,1,9.5414,0,,0.0542,0.0795,0.0000,3→5,9.5414,184.7021,0.0000,0.0000,86,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,13,6,2,6→2,1,1.4531,0,,0.0569,0.1157,0.0000,6→2,1.4531,64.5886,0.0000,0.0000,73,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,14,5,4,5→3→4,2,2.9994,1,,0.0311,0.0865,76.7709,5→3,1.1925,149.5183,0.0000,0.0000,52,0.0000,0.0000,0.0000,3→4,1.8069,162.2254,0.0000,0.0000,40,0.0000,0.0000,76.7709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,15,4,6,4→5→7→6,3,12.0257,0,,0.0205,0.0599,0.0000,4→5,2.2428,75.9154,0.0000,0.0000,45,0.0000,0.0000,0.0000,5→7,6.0129,125.5614,0.0000,0.0000,21,0.0000,0.0000,0.0000,7→6,3.7701,106.0908,0.0000,0.0000,36,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,16,2,1,2→1,1,2.2390,0,,0.0680,0.1261,0.0000,2→1,2.2390,59.6368,0.0000,0.0000,43,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,17,5,6,5→7→6,2,10.3363,0,,0.0416,0.1089,0.0000,5→7,8.6976,174.1153,0.0000,0.0000,52,0.0000,0.0000,0.0000,7→6,1.6387,37.7464,0.0000,0.0000,97,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,18,4,2,4→2,1,5.5764,0,,0.0525,0.0979,0.0000,4→2,5.5764,185.4164,0.0000,0.0000,81,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,19,7,1,7→6→2→1,3,18.1576,0,,0.0493,0.1058,0.0000,7→6,3.5014,79.9996,0.0000,0.0000,74,0.0000,0.0000,0.0000,6→2,6.8987,67.8407,0.0000,0.0000,81,0.0000,0.0000,0.0000,2→1,7.7574,34.5497,0.0000,0.0000,77,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,20,6,3,6→4→3,2,6.3148,0,,0.0384,0.0675,0.0000,6→4,1.0983,67.9481,0.0000,0.0000,49,0.0000,0.0000,0.0000,4→3,5.2166,33.1944,0.0000,0.0000,68,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
